Date, Reading
2020-10-30 22:14:58.399502,290
2020-10-30 22:14:58.400079,291
2020-10-30 22:14:58.401683,291
2020-10-30 22:14:58.402315,291
2020-10-30 22:14:58.402910,291
2020-10-30 22:14:58.403506,291
2020-10-30 22:14:58.404465,290
2020-10-30 22:14:58.405094,288
2020-10-30 22:14:58.405624,286
2020-10-30 22:14:58.406688,288
2020-10-30 22:14:58.407369,284
2020-10-30 22:14:58.408120,282
2020-10-30 22:14:58.409261,281
2020-10-30 22:14:58.409849,281
2020-10-30 22:14:58.410432,280
2020-10-30 22:14:58.410988,280
2020-10-30 22:14:58.412259,280
2020-10-30 22:14:58.412804,281
2020-10-30 22:14:58.413616,281
2020-10-30 22:14:58.414231,281
2020-10-30 22:14:58.414858,281
2020-10-30 22:14:58.415590,278
2020-10-30 22:14:58.416654,277
2020-10-30 22:14:58.417303,276
2020-10-30 22:14:58.418064,276
2020-10-30 22:14:58.418693,274
2020-10-30 22:14:58.419485,274
2020-10-30 22:14:58.420918,273
2020-10-30 22:14:58.422212,276
2020-10-30 22:14:58.423112,276
2020-10-30 22:14:58.426939,277
2020-10-30 22:14:58.428265,276
2020-10-30 22:14:58.429030,273
2020-10-30 22:14:58.430331,277
2020-10-30 22:14:58.431118,278
2020-10-30 22:14:58.431990,281
2020-10-30 22:14:58.433028,280
2020-10-30 22:14:58.433558,280
2020-10-30 22:14:58.434415,281
2020-10-30 22:14:58.435453,282
2020-10-30 22:14:58.436085,282
2020-10-30 22:14:58.436594,283
2020-10-30 22:14:58.437367,282
2020-10-30 22:14:58.438535,283
2020-10-30 22:14:58.439341,282
2020-10-30 22:14:58.440338,282
2020-10-30 22:14:58.441344,282
2020-10-30 22:14:58.442209,282
2020-10-30 22:14:58.443549,282
2020-10-30 22:14:58.444535,282
2020-10-30 22:14:58.445177,282
2020-10-30 22:14:58.446083,282
2020-10-30 22:14:58.446887,284
2020-10-30 22:14:58.447941,284
2020-10-30 22:14:58.448992,283
2020-10-30 22:14:58.449981,282
2020-10-30 22:14:58.450733,280
2020-10-30 22:14:58.451242,279
2020-10-30 22:14:58.451713,277
2020-10-30 22:14:58.452211,274
2020-10-30 22:14:58.452659,273
2020-10-30 22:14:58.454038,272
2020-10-30 22:14:58.455047,271
2020-10-30 22:14:58.463968,272
2020-10-30 22:14:58.464714,267
2020-10-30 22:14:58.465431,266
2020-10-30 22:14:58.466084,266
2020-10-30 22:14:58.466720,264
2020-10-30 22:14:58.467484,261
2020-10-30 22:14:58.468154,260
2020-10-30 22:14:58.468799,261
2020-10-30 22:14:58.469563,260
2020-10-30 22:14:58.470273,260
2020-10-30 22:14:58.471102,260
2020-10-30 22:14:58.471701,259
2020-10-30 22:14:58.472228,261
2020-10-30 22:14:58.473224,261
2020-10-30 22:14:58.474055,261
2020-10-30 22:14:58.474969,262
2020-10-30 22:14:58.475794,264
2020-10-30 22:14:58.476476,266
2020-10-30 22:14:58.477267,265
2020-10-30 22:14:58.478560,265
2020-10-30 22:14:58.479949,271
2020-10-30 22:14:58.480628,273
2020-10-30 22:14:58.482785,272
2020-10-30 22:14:58.483802,270
2020-10-30 22:14:58.484437,269
2020-10-30 22:14:58.485833,273
2020-10-30 22:14:58.487812,276
2020-10-30 22:14:58.494663,277
2020-10-30 22:14:58.495336,279
2020-10-30 22:14:58.495970,281
2020-10-30 22:14:58.496559,284
2020-10-30 22:14:58.497156,288
2020-10-30 22:14:58.497835,290
2020-10-30 22:14:58.498436,291
2020-10-30 22:14:58.500654,293
2020-10-30 22:14:58.501932,294
2020-10-30 22:14:58.502592,295
2020-10-30 22:14:58.503896,296
2020-10-30 22:14:58.506477,296
2020-10-30 22:14:58.507114,296
2020-10-30 22:14:58.509549,296
2020-10-30 22:14:58.511652,297
2020-10-30 22:14:58.512696,297
2020-10-30 22:14:58.513987,296
2020-10-30 22:14:58.515249,296
2020-10-30 22:14:58.516270,293
2020-10-30 22:14:58.519228,291
2020-10-30 22:14:58.520136,293
2020-10-30 22:14:58.521065,293
2020-10-30 22:14:58.521638,291
2020-10-30 22:14:58.523942,290
2020-10-30 22:14:58.524509,290
2020-10-30 22:14:58.525501,294
2020-10-30 22:14:58.526755,301
2020-10-30 22:14:58.528684,302
2020-10-30 22:14:58.530156,302
2020-10-30 22:14:58.532380,302
2020-10-30 22:14:58.534294,304
2020-10-30 22:14:58.535097,305
2020-10-30 22:14:58.536175,302
2020-10-30 22:14:58.537412,302
2020-10-30 22:14:58.539092,302
2020-10-30 22:14:58.542233,302
2020-10-30 22:14:58.543399,302
2020-10-30 22:14:58.547077,303
2020-10-30 22:14:58.548053,303
2020-10-30 22:14:58.549425,302
2020-10-30 22:14:58.550593,302
2020-10-30 22:14:58.552161,301
2020-10-30 22:14:58.553316,301
2020-10-30 22:14:58.554257,301
2020-10-30 22:14:58.555931,301
2020-10-30 22:14:58.557290,297
2020-10-30 22:14:58.558503,295
2020-10-30 22:14:58.560101,293
2020-10-30 22:14:58.561806,292
2020-10-30 22:14:58.563335,293
2020-10-30 22:14:58.564857,293
2020-10-30 22:14:58.566869,291
2020-10-30 22:14:58.568231,291
2020-10-30 22:14:58.569593,290
2020-10-30 22:14:58.570390,290
2020-10-30 22:14:58.574404,288
2020-10-30 22:14:58.575716,288
2020-10-30 22:14:58.579057,289
2020-10-30 22:14:58.580580,290
2020-10-30 22:14:58.581816,291
2020-10-30 22:14:58.583064,290
2020-10-30 22:14:58.583995,290
2020-10-30 22:14:58.585229,292
2020-10-30 22:14:58.586945,294
2020-10-30 22:14:58.588742,293
2020-10-30 22:14:58.589883,294
2020-10-30 22:14:58.591754,295
2020-10-30 22:14:58.593710,296
2020-10-30 22:14:58.594483,296
2020-10-30 22:14:58.595650,296
